id,年份,题号,题型,主考点,相关考点(背诵P/精讲P)
2014-14,2014,14,single,非国家工作人员受贿罪,非国家工作人员受贿罪=110/328 | 受贿罪=174/554
2014-15,2014,15,single,绑架罪,拐骗儿童罪=133/401 | 绑架罪=132/392 | 行为犯=186/127
2014-16,2014,16,single,盗窃罪,诈骗罪=141/444 | 侵占罪=142/455 | 抢劫罪=140/424 | 盗窃罪=141/436
2014-17,2014,17,single,贩卖毒品罪,
2014-18,2014,18,single,抢劫罪,抢劫罪=140/424 | 结果犯=147/122
2014-19,2014,19,single,私放在押人员罪,私放在押人员罪=182/577 | 洗钱罪=115/341
2014-20,2014,20,single,强令违章冒险作业罪,强令违章冒险作业罪=None/None | 医疗事故罪=165/521 | 滥用职权罪=180/569 | 贪污罪=172/546
2014-41,2014,41,multi,普遍管辖,普遍管辖=None/21
2014-42,2014,42,multi,立功,立功=66/228
2014-43,2014,43,multi,集资诈骗罪,集资诈骗罪=115/343 | 合同诈骗罪=122/362 | 贷款诈骗罪=116/344 | 诈骗罪=141/444
2014-44,2014,44,multi,盗窃罪,非法持有毒品罪=168/536 | 盗窃罪=141/436
2014-45,2014,45,multi,侵犯著作权罪,侵犯著作权罪=120/358
2015-1,2015,1,single,刑法基本原则,罪责刑相适应原则=8/18 | 刑法基本原则=None/None | 刑事责任=19/191 | 危害结果=17/51 | 量刑=58/213 | 刑罚=47/195
2015-2,2015,2,single,赌博罪,赌博罪=157/498
2015-3,2015,3,single,故意杀人罪,过失致人死亡罪=127/374 | 故意伤害罪=127/375 | 故意杀人罪=126/370 | 因果关系错误=None/96 | 因果关系=18/54 | 实害犯=33/127
2015-4,2015,4,single,时效延长,聚众斗殴罪=155/466 | 刑事责任=19/191 | 时效延长=None/None
2015-5,2015,5,single,刑法的解释,危险驾驶罪=97/296 | 刑法的解释=5/11 | 醉酒=None/296
2015-6,2015,6,single,传播淫秽物品罪,传播淫秽物品罪=171/543 | 犯罪构成=13/33
2015-7,2015,7,single,特别累犯,特别累犯=61/220 | 累犯=62/218 | 赦免=80/258 | 刑罚=47/195
2015-8,2015,8,single,爆炸罪,以危险方法危害公共安全罪=94/282 | 故意伤害罪=127/375 | 寻衅滋事罪=None/None | 爆炸罪=93/279 | 危险犯=33/127
2015-9,2015,9,single,职务侵占罪,职务侵占罪=143/457 | 挪用资金罪=145/462 | 侵占罪=142/455 | 盗窃罪=141/436 | 犯罪构成=13/33
2015-10,2015,10,single,污染环境罪,以危险方法危害公共安全罪=94/282 | 重大责任事故罪=102/308 | 投放危险物质罪=94/280 | 污染环境罪=165/524 | 有期徒刑=52/201 | 拘役=52/200 | 罚金=54/204
2015-11,2015,11,single,逃税罪,非法经营罪=123/364 | 逃税罪=118/351 | 犯罪构成=13/33
2015-12,2015,12,single,强奸罪,强奸罪=129/380 | 犯罪未遂=34/126 | 犯罪中止=35/130 | 犯罪既遂=33/119 | 犯罪预备=33/123 | 着手=None/None
2015-13,2015,13,single,放火罪,放火罪=93/276 | 诈骗罪=141/444 | 叛逃罪=90/271 | 无期徒刑=52/201 | 有期徒刑=52/201 | 累犯=62/218 | 假释=75/246
2015-14,2015,14,single,故意毁坏财物罪,故意毁坏财物罪=144/459 | 犯罪未遂=34/126 | 危害结果=17/51 | 犯罪既遂=33/119 | 实行行为=None/125 | 行为犯=186/127 | 结果犯=147/122 | 危险犯=33/127 | 着手=None/None
2015-15,2015,15,single,共同犯罪,共同犯罪=37/139 | 法定情节=59/214 | 坦白=66/221 | 立功=66/228 | 量刑=58/213 | 自首=62/221
2015-16,2015,16,single,交通肇事罪,寻衅滋事罪=None/None | 交通肇事罪=95/289 | 危害行为=16/45 | 危害结果=17/51 | 因果关系=18/54
2015-17,2015,17,single,信用卡诈骗罪,信用卡诈骗罪=117/346 | 诈骗罪=141/444 | 盗窃罪=141/436
2015-18,2015,18,single,抢劫罪,敲诈勒索罪=143/451 | 招摇撞骗罪=149/471 | 抢劫罪=140/424
2015-19,2015,19,single,诈骗罪,合同诈骗罪=122/362 | 诈骗罪=141/444 | 紧急避险=30/110
2015-20,2015,20,single,盗窃罪,盗窃罪=141/436 | 想象竞合犯=189/169 | 结果加重犯=None/172 | 犯罪构成=13/33 | 牵连犯=192/183
2015-41,2015,41,multi,暴力干涉婚姻自由罪,暴力干涉婚姻自由罪=134/404 | 侮辱罪=130/410 | 侵占罪=142/455 | 诽谤罪=136/None | 虐待罪=135/405
